index,number_of_day,mounth,day_of_week,type_of_car,car_number,mass_of_trash,size_of_trash,density,tmax,tmin
0,1,Январь,пятница,Бункеровоз,В297КЕ147,4300,48,"89,58333333",-28°,-32°
1,1,Январь,пятница,Бункеровоз,К721ВС154,5180,40,"129,5",-28°,-32°
2,1,Январь,пятница,Бункеровоз,Н726РУ154,5400,64,"84,375",-28°,-32°
3,1,Январь,пятница,Бункеровоз,Н991НУ154,4960,48,"103,3333333",-28°,-32°
4,1,Январь,пятница,Мультилифт,К801ВА154,3220,"36,66","87,83415166",-28°,-32°
5,1,Январь,пятница,Мультилифт,Н416НС154,0,0,0,-28°,-32°
6,1,Январь,пятница,Мультилифт,Н869МК154,3140,36,"87,22222222",-28°,-32°
7,1,Январь,пятница,ГАЗ,В149НА,3180,24,"132,5",-28°,-32°
8,1,Январь,пятница,Самосвал,К693СА154,1980,17,"116,4705882",-28°,-32°
9,1,Январь,пятница,Самосвал,К722ВС154,1260,"42,9","29,37062937",-28°,-32°
10,1,Январь,пятница,Самосвал,К836ВС154,2680,22,"121,8181818",-28°,-32°
11,1,Январь,пятница,Самосвал,Н200НХ154,0,0,0,-28°,-32°
12,1,Январь,пятница,Самосвал,Н283УУ154,2000,"22,98","87,03220191",-28°,-32°
13,1,Январь,пятница,Самосвал,Н300УУ154,560,11,"50,90909091",-28°,-32°
14,1,Январь,пятница,Грузовая,Н344РТ154,680,8,85,-28°,-32°
15,1,Январь,пятница,Грузовая,Н345РК154,660,"9,7","68,04123711",-28°,-32°
16,1,Январь,пятница,Грузовая,Н412РК154,2852,"48,5","58,80412371",-28°,-32°
17,1,Январь,пятница,Грузовая,Н419РК154,480,"9,7","49,48453608",-28°,-32°
18,1,Январь,пятница,Грузовая,Н515РТ154,0,0,0,-28°,-32°
19,1,Январь,пятница,Самосвал,Н534ТТ154,1180,"26,4","44,6969697",-28°,-32°
20,1,Январь,пятница,Самосвал,Н576ТТ154,2380,"45,2","52,65486726",-28°,-32°
21,1,Январь,пятница,Грузовая,Н583РТ154,260,"15,7","16,56050955",-28°,-32°
22,1,Январь,пятница,Самосвал,Н585ТТ154,2380,22,"108,1818182",-28°,-32°
23,1,Январь,пятница,Самосвал,Н587ТТ154,2580,22,"117,2727273",-28°,-32°
24,1,Январь,пятница,Самосвал,Н589ТТ154,660,11,60,-28°,-32°
25,1,Январь,пятница,Грузовая,Н833ТТ154,1420,"23,7","59,91561181",-28°,-32°
